metric,unix_ts,value
hbm_used_mib,1788782221.0,74382.0
hbm_used_mib,1788782222.0,74382.0
hbm_used_mib,1788782223.0,74382.0
hbm_used_mib,1788782224.0,74382.0
hbm_used_mib,1788782225.0,74382.0
hbm_used_mib,1788782226.0,74382.0
hbm_used_mib,1788782227.0,74382.0
hbm_used_mib,1788782228.0,74382.0
hbm_used_mib,1788782229.0,74382.0
hbm_used_mib,1788782230.0,74382.0
hbm_used_mib,1788782231.0,74382.0
hbm_used_mib,1788782232.0,74382.0
hbm_used_mib,1788782233.0,74382.0
hbm_used_mib,1788782234.0,74382.0
hbm_used_mib,1788782235.0,74382.0
hbm_used_mib,1788782236.0,74382.0
hbm_used_mib,1788782237.0,74382.0
hbm_used_mib,1788782238.0,74382.0
hbm_used_mib,1788782239.0,74382.0
hbm_used_mib,1788782240.0,74382.0
hbm_used_mib,1788782241.0,74382.0
hbm_used_mib,1788782242.0,74382.0
hbm_used_mib,1788782243.0,74382.0
hbm_used_mib,1788782244.0,74382.0
hbm_used_mib,1788782245.0,74382.0
hbm_used_mib,1788782246.0,74382.0
hbm_used_mib,1788782247.0,74382.0
hbm_used_mib,1788782248.0,74382.0
hbm_used_mib,1788782249.0,74382.0
hbm_used_mib,1788782250.0,74382.0
hbm_used_mib,1788782251.0,74382.0
hbm_used_mib,1788782252.0,74382.0
hbm_used_mib,1788782253.0,74382.0
hbm_used_mib,1788782254.0,74382.0
hbm_used_mib,1788782255.0,74382.0
hbm_used_mib,1788782256.0,74382.0
hbm_used_mib,1788782257.0,74382.0
hbm_used_mib,1788782258.0,74382.0
hbm_used_mib,1788782259.0,74382.0
hbm_used_mib,1788782260.0,74382.0
hbm_used_mib,1788782261.0,74382.0
hbm_used_mib,1788782262.0,74382.0
hbm_used_mib,1788782263.0,74382.0
hbm_used_mib,1788782264.0,74382.0
hbm_used_mib,1788782265.0,74382.0
hbm_used_mib,1788782266.0,74382.0
hbm_used_mib,1788782267.0,74382.0
hbm_used_mib,1788782268.0,74382.0
hbm_used_mib,1788782269.0,74382.0
hbm_used_mib,1788782270.0,74382.0
hbm_used_mib,1788782271.0,74382.0
hbm_used_mib,1788782272.0,74382.0
hbm_used_mib,1788782273.0,74382.0
hbm_used_mib,1788782274.0,74382.0
hbm_used_mib,1788782275.0,74382.0
hbm_used_mib,1788782276.0,74382.0
hbm_used_mib,1788782277.0,74382.0
hbm_used_mib,1788782278.0,74382.0
hbm_used_mib,1788782279.0,74382.0
hbm_used_mib,1788782280.0,74382.0
hbm_used_mib,1788782281.0,74382.0
hbm_used_mib,1788782282.0,74382.0
hbm_used_mib,1788782283.0,74382.0
hbm_used_mib,1788782284.0,74382.0
hbm_used_mib,1788782285.0,74382.0
hbm_used_mib,1788782286.0,74382.0
hbm_used_mib,1788782287.0,74382.0
hbm_used_mib,1788782288.0,74382.0
hbm_used_mib,1788782289.0,74382.0
hbm_used_mib,1788782290.0,74382.0
hbm_used_mib,1788782291.0,74382.0
hbm_used_mib,1788782292.0,74382.0
hbm_used_mib,1788782293.0,74382.0
hbm_used_mib,1788782294.0,74382.0
hbm_used_mib,1788782295.0,74382.0
hbm_used_mib,1788782296.0,74382.0
hbm_used_mib,1788782297.0,74382.0
hbm_used_mib,1788782298.0,74382.0
hbm_used_mib,1788782299.0,74382.0
hbm_used_mib,1788782300.0,74382.0
hbm_used_mib,1788782301.0,74382.0
hbm_used_mib,1788782302.0,74382.0
hbm_used_mib,1788782303.0,74382.0
hbm_used_mib,1788782304.0,74382.0
hbm_used_mib,1788782305.0,74382.0
hbm_used_mib,1788782306.0,74382.0
hbm_used_mib,1788782307.0,74382.0
hbm_used_mib,1788782308.0,74382.0
hbm_used_mib,1788782309.0,74382.0
hbm_used_mib,1788782310.0,74382.0
hbm_used_mib,1788782311.0,74382.0
hbm_used_mib,1788782312.0,74382.0
hbm_used_mib,1788782313.0,74382.0
hbm_used_mib,1788782314.0,74382.0
hbm_used_mib,1788782315.0,74382.0
hbm_used_mib,1788782316.0,74382.0
hbm_used_mib,1788782317.0,74382.0
hbm_used_mib,1788782318.0,74382.0
hbm_used_mib,1788782319.0,74382.0
hbm_used_mib,1788782320.0,74382.0
hbm_used_mib,1788782321.0,74382.0
hbm_used_mib,1788782322.0,74382.0
hbm_used_mib,1788782323.0,74382.0
hbm_used_mib,1788782324.0,74382.0
hbm_used_mib,1788782325.0,74382.0
hbm_used_mib,1788782326.0,74382.0
hbm_used_mib,1788782327.0,74382.0
hbm_used_mib,1788782328.0,74382.0
hbm_used_mib,1788782329.0,74382.0
hbm_used_mib,1788782330.0,74382.0
hbm_used_mib,1788782331.0,74382.0
hbm_used_mib,1788782332.0,74382.0
hbm_used_mib,1788782333.0,74382.0
hbm_used_mib,1788782334.0,74382.0
hbm_used_mib,1788782335.0,74382.0
hbm_used_mib,1788782336.0,74382.0
hbm_used_mib,1788782337.0,74382.0
hbm_used_mib,1788782338.0,74382.0
hbm_used_mib,1788782339.0,74382.0
hbm_used_mib,1788782340.0,74382.0
hbm_used_mib,1788782341.0,74382.0
hbm_used_mib,1788782342.0,74382.0
hbm_used_mib,1788782343.0,74382.0
hbm_used_mib,1788782344.0,74382.0
hbm_used_mib,1788782345.0,74382.0
hbm_used_mib,1788782346.0,74382.0
hbm_used_mib,1788782347.0,74382.0
hbm_used_mib,1788782348.0,74382.0
hbm_used_mib,1788782349.0,74382.0
hbm_used_mib,1788782350.0,74382.0
hbm_used_mib,1788782351.0,74382.0
power_w,1788782034.0,102.432
power_w,1788782035.0,102.508
power_w,1788782036.0,102.674
power_w,1788782037.0,103.001
power_w,1788782038.0,102.281
power_w,1788782039.0,102.639
power_w,1788782040.0,102.47
power_w,1788782041.0,102.469
power_w,1788782042.0,102.5
power_w,1788782043.0,102.242
power_w,1788782044.0,102.406
power_w,1788782045.0,102.307
