timestamp, utilization.gpu [%], memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/10 04:30:05.807, 1 %, 667 MiB, 52, 109.85 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:07.809, 1 %, 563 MiB, 52, 109.28 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:09.810, 0 %, 623 MiB, 52, 110.21 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:11.811, 0 %, 683 MiB, 52, 110.97 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:13.813, 1 %, 623 MiB, 52, 111.07 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:15.814, 2 %, 643 MiB, 52, 109.58 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:17.815, 7 %, 703 MiB, 52, 109.59 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:19.816, 0 %, 623 MiB, 52, 110.97 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:21.817, 4 %, 623 MiB, 52, 109.89 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:23.818, 7 %, 703 MiB, 52, 110.87 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:25.819, 0 %, 623 MiB, 52, 125.96 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:27.820, 4 %, 623 MiB, 52, 109.98 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:29.821, 0 %, 643 MiB, 52, 110.57 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:31.822, 0 %, 643 MiB, 52, 111.36 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:33.824, 6 %, 613 MiB, 52, 110.08 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:35.825, 5 %, 633 MiB, 52, 109.98 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:37.828, 4 %, 653 MiB, 52, 109.98 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:39.829, 0 %, 613 MiB, 52, 112.15 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:41.831, 23 %, 653 MiB, 52, 111.65 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:43.833, 0 %, 653 MiB, 52, 123.43 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:45.834, 4 %, 633 MiB, 52, 112.94 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:47.835, 0 %, 593 MiB, 53, 139.53 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:49.837, 5 %, 685 MiB, 52, 110.18 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:51.838, 0 %, 685 MiB, 52, 111.26 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:53.839, 0 %, 625 MiB, 52, 111.75 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:55.840, 5 %, 645 MiB, 52, 110.27 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:57.841, 0 %, 625 MiB, 53, 137.98 W, 1410 MHz, 1512 MHz
2026/09/10 04:30:59.843, 6 %, 645 MiB, 53, 110.27 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:01.843, 5 %, 697 MiB, 53, 111.55 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:03.845, 0 %, 605 MiB, 53, 110.37 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:05.846, 6 %, 645 MiB, 53, 116.60 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:07.847, 0 %, 689 MiB, 53, 111.85 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:09.848, 3 %, 625 MiB, 53, 111.86 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:11.849, 0 %, 877 MiB, 52, 111.54 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:13.851, 0 %, 703 MiB, 54, 112.64 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:15.852, 13 %, 745 MiB, 54, 117.82 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:17.853, 11 %, 787 MiB, 53, 111.26 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:19.854, 0 %, 745 MiB, 54, 113.53 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:21.856, 19 %, 745 MiB, 54, 111.56 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:23.857, 31 %, 885 MiB, 54, 113.92 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:25.860, 13 %, 703 MiB, 54, 111.76 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:27.861, 10 %, 731 MiB, 55, 113.98 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:29.862, 0 %, 899 MiB, 55, 113.03 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:31.863, 0 %, 745 MiB, 56, 183.11 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:33.864, 0 %, 1025 MiB, 54, 112.45 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:35.866, 5 %, 1027 MiB, 55, 292.19 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:37.867, 8 %, 827 MiB, 55, 257.12 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:39.869, 0 %, 847 MiB, 55, 113.73 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:41.869, 18 %, 1007 MiB, 55, 112.35 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:43.872, 8 %, 827 MiB, 56, 114.03 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:45.873, 70 %, 1027 MiB, 58, 153.65 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:47.874, 8 %, 827 MiB, 56, 114.42 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:49.875, 8 %, 827 MiB, 57, 115.39 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:51.877, 47 %, 1047 MiB, 56, 113.83 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:53.878, 17 %, 827 MiB, 57, 132.35 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:55.879, 0 %, 827 MiB, 55, 114.21 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:57.880, 0 %, 0 MiB, 55, 113.63 W, 1410 MHz, 1512 MHz
2026/09/10 04:31:59.881, 1 %, 521 MiB, 52, 109.79 W, 1410 MHz, 1512 MHz
2026/09/10 04:32:01.882, 0 %, 521 MiB, 53, 112.06 W, 1410 MHz, 1512 MHz
2026/09/10 04:32:03.882, 0 %, 521 MiB, 53, 112.35 W, 1410 MHz, 1512 MHz
2026/09/10 04:32:05.883, 0 %, 521 MiB, 53, 112.06 W, 1410 MHz, 1512 MHz
2026/09/10 04:32:07.884, 0 %, 521 MiB, 53, 110.90 W, 1410 MHz, 1512 MHz
2026/09/10 04:32:09.885, 0 %, 521 MiB, 53, 112.16 W, 1410 MHz, 1512 MHz
2026/09/10 04:32:11.886, 0 %, 521 MiB, 53, 112.16 W, 1410 MHz, 1512 MHz
