configured_lambda_req_s,realized_lambda_req_s,request_id,workload_category,ttft_ms,mean_content_event_itl_ms,e2e_ms,output_tokens,ttft_slo_pass,itl_slo_pass,overall_slo_pass
0.4,0.3455210222603422,req_0596,coding_request,115.25381700630533,8.939930073762804,1206.2256620047265,122,1,1,1
0.4,0.3455210222603422,req_0056,short_interactive,13.896604999899864,7.380809250025777,161.7337950010551,20,1,1,1
0.4,0.3455210222603422,req_0323,knowledge_qa,39.280878998397384,9.125737424008548,1180.2042510025785,125,1,1,1
0.4,0.3455210222603422,req_0238,short_interactive,20.849594999162946,8.743419547960775,1297.6761839963729,146,1,1,1
0.4,0.3455210222603422,req_0359,knowledge_qa,28.444058996683452,8.613104432697583,924.478854998597,104,1,1,1
0.4,0.3455210222603422,req_0032,short_interactive,33.784327999455854,8.17968993087709,2046.2284949971945,246,1,1,1
0.4,0.3455210222603422,req_0630,coding_request,26.029491004010197,7.811328516700066,3533.5603300045477,449,1,1,1
0.4,0.3455210222603422,req_0904,long_output,116.60193399438867,8.32123944607755,3511.917962998268,408,1,1,1
0.4,0.3455210222603422,req_0690,document_qa,82.68351400329266,8.165472271399008,654.549507999036,70,1,1,1
0.4,0.3455210222603422,req_0833,long_context_qa,511.1534579991712,7.629080130478226,686.860385001637,23,0,1,0
0.4,0.3455210222603422,req_0092,short_interactive,13.465184005326591,7.917832941387815,2040.706173000217,256,1,1,1
0.4,0.3455210222603422,req_0326,knowledge_qa,25.184111000271514,8.036869757859222,1054.1848760040011,128,1,1,1
0.4,0.3455210222603422,req_0208,short_interactive,237.05393700220156,8.367840035162999,2379.5082319993526,256,1,1,1
0.4,0.3455210222603422,req_0710,document_qa,83.29202500317479,7.852219975780651,1057.182897005987,124,1,1,1
0.4,0.3455210222603422,req_0717,document_qa,18.407976000162307,7.853294999996309,387.7498959991499,47,1,1,1
0.4,0.3455210222603422,req_0857,long_context_qa,496.6960329984431,7.96644529810482,1325.4357379992143,104,0,1,0
0.4,0.3455210222603422,req_0773,document_qa,110.8732360007707,7.820719238138519,768.0584370027645,84,1,1,1
0.4,0.3455210222603422,req_0719,document_qa,243.92496600194136,7.686403062507452,490.17730000196025,32,1,1,1
0.4,0.3455210222603422,req_0712,document_qa,83.50090999738313,7.875420832050395,2099.858977999247,256,1,1,1
0.4,0.3455210222603422,req_0142,short_interactive,36.6650860014488,19.21041423058621,286.5996449982049,13,1,0,0
0.4,0.3455210222603422,req_0204,short_interactive,121.9694140017964,8.87055223294343,2330.9928650051006,249,1,1,1
0.4,0.3455210222603422,req_0530,coding_request,21.933666997938417,8.039578539440344,3792.735356997582,469,1,1,1
0.4,0.3455210222603422,req_0878,long_context_qa,228.23300599702634,7.559026666664674,364.5514009986073,18,1,1,1
0.4,0.3455210222603422,req_0319,knowledge_qa,31.60259400465293,9.41491590193062,992.1669910036144,102,1,1,1
0.4,0.3455210222603422,req_0451,knowledge_qa,14.38815200526733,7.500977249947027,224.64839000167558,28,1,1,1
0.4,0.3455210222603422,req_0705,document_qa,39.439391999621876,9.815611707633183,677.6985979959136,65,1,1,1
0.4,0.3455210222603422,req_0408,knowledge_qa,26.873266004258767,9.409164979084986,478.7535499999649,48,1,1,1
0.4,0.3455210222603422,req_0435,knowledge_qa,14.812262001214549,7.727266820324985,1004.1353499982506,128,1,1,1
0.4,0.3455210222603422,req_0974,long_output,15.376813003967982,7.915264644761388,6521.999787000823,822,1,1,1
0.4,0.3455210222603422,req_0240,short_interactive,19.634590003988706,8.166124201682983,991.9700419995934,119,1,1,1
0.4,0.3455210222603422,req_0996,long_output,25.11687199876178,8.000194360407514,3177.434985002037,394,1,1,1
0.4,0.3455210222603422,req_0574,coding_request,24.85801500006346,8.215931342380392,1536.8637869978556,184,1,1,1
0.4,0.3455210222603422,req_0179,short_interactive,14.247020000766497,7.688858964251094,660.3643580019707,84,1,1,1
0.4,0.3455210222603422,req_0367,knowledge_qa,43.18901799706509,9.095195337279218,825.5659110000124,86,1,1,1
0.4,0.3455210222603422,req_0502,coding_request,14.270831001340412,8.635156342463906,3166.415952000534,365,1,1,1
0.4,0.3455210222603422,req_0616,coding_request,24.651851003000047,8.39415488671591,4322.665017003601,512,1,1,1
0.4,0.3455210222603422,req_0840,long_context_qa,219.5803920039907,8.214815062501657,482.75255000044126,32,1,1,1
0.4,0.3455210222603422,req_0835,long_context_qa,24.068229999102186,19.681302500329267,378.66443100210745,18,1,0,0
0.4,0.3455210222603422,req_0886,long_context_qa,247.76169400138315,8.03869950011306,360.63303400442237,14,1,1,1
0.4,0.3455210222603422,req_0040,short_interactive,117.15548700158251,9.434785487519548,872.1614410023903,80,1,1,1
0.4,0.3455210222603422,req_0657,document_qa,81.837017001817,7.833755222236505,223.09925599984126,18,1,1,1
0.4,0.3455210222603422,req_0041,short_interactive,114.65745599707589,8.642545926227658,1169.2871139966883,122,1,1,1
0.4,0.3455210222603422,req_0192,short_interactive,13.177277993236203,7.767725929710423,2001.949240999238,256,1,1,1
0.4,0.3455210222603422,req_0586,coding_request,37.34337000059895,8.251257259503433,2422.156891996565,289,1,1,1
0.4,0.3455210222603422,req_0166,short_interactive,14.027725999767426,7.77368967970915,2004.2929379997076,256,1,1,1
0.4,0.3455210222603422,req_0113,short_interactive,150.10393899865448,8.333204703149022,2283.633867999015,256,1,1,1
0.4,0.3455210222603422,req_0178,short_interactive,14.385352005774621,7.700499188178903,669.1747280056006,85,1,1,1
0.4,0.3455210222603422,req_0818,long_context_qa,401.4147639973089,7.684434416660224,586.1044560006121,24,0,1,0
0.4,0.3455210222603422,req_0148,short_interactive,236.76604199863505,8.883097507459208,832.1764299980714,67,1,1,1
0.4,0.3455210222603422,req_0508,coding_request,240.03374900348717,8.106672860314228,1691.3754160050303,179,1,1,1
0.4,0.3455210222603422,req_0007,short_interactive,26.6921540023759,10.913302021242302,539.8593440040713,47,1,1,1
0.4,0.3455210222603422,req_0698,document_qa,18.394514001556672,7.7579831551451335,468.60288199968636,58,1,1,1
0.4,0.3455210222603422,req_0064,short_interactive,14.574387001630384,7.590177384629034,310.8183399963309,39,1,1,1
0.4,0.3455210222603422,req_0084,short_interactive,120.66372799745295,9.430466250030024,1441.1677579992102,140,1,1,1
0.4,0.3455210222603422,req_0534,coding_request,234.13581700151553,7.990670555924318,2591.748958999233,295,1,1,1
0.4,0.3455210222603422,req_0918,long_output,24.73895300499862,8.058293651366455,8276.76784900541,1024,1,1,1
0.4,0.3455210222603422,req_0466,knowledge_qa,24.41955699760001,7.794126941007562,157.1164589986438,17,1,1,1
0.4,0.3455210222603422,req_0310,knowledge_qa,23.545418996945955,8.134974561646032,617.6275359975989,73,1,1,1
0.4,0.3455210222603422,req_0457,knowledge_qa,21.14648099814076,8.262789917419827,922.0988179949927,109,1,1,1
0.4,0.3455210222603422,req_0984,long_output,28.317026000877377,8.133960035152654,8357.74645699712,1024,1,1,1
0.4,0.3455210222603422,req_0938,long_output,32.94579100474948,8.269885003579885,4647.812489005446,558,1,1,1
0.4,0.3455210222603422,req_0371,knowledge_qa,21.527679004066158,8.150228574070045,462.00492000207305,54,1,1,1
0.4,0.3455210222603422,req_0422,knowledge_qa,21.84593399579171,8.114063632413437,573.9192769979127,68,1,1,1
0.4,0.3455210222603422,req_0131,short_interactive,237.5453349959571,9.394047178119925,923.556854002527,73,1,1,1
0.4,0.3455210222603422,req_0531,coding_request,14.873471998726018,7.761224005352755,1474.2288300039945,188,1,1,1
0.4,0.3455210222603422,req_0864,long_context_qa,478.38638100074604,7.9146847546206045,898.1193479994545,53,0,1,0
0.4,0.3455210222603422,req_0650,coding_request,306.9813600013731,8.5847030098033,4685.42706000153,510,0,1,0
0.4,0.3455210222603422,req_0444,knowledge_qa,315.66289799957303,8.302106939399065,863.8323099949048,66,0,1,0
0.4,0.3455210222603422,req_0931,long_output,28.03780099930009,8.454500846381556,5642.146109996247,664,1,1,1
0.4,0.3455210222603422,req_0793,document_qa,128.2849819981493,8.183125583400397,521.3680559973,48,1,1,1
0.4,0.3455210222603422,req_0926,long_output,25.3194649994839,8.493402928577,976.7847969997092,112,1,1,1
0.4,0.3455210222603422,req_0674,document_qa,77.22473199828528,7.974434874995495,268.99309700093,24,1,1,1
0.4,0.3455210222603422,req_0173,short_interactive,14.485963998595253,5.817615749037941,37.971401994582266,4,1,1,1
0.4,0.3455210222603422,req_0578,coding_request,246.19189299846767,8.138608154562958,1141.6779549981584,110,1,1,1
0.4,0.3455210222603422,req_0524,coding_request,219.09764999873005,7.777964530008224,2552.70680400281,300,1,1,1
